Model Number,Input Configuration,Model Configuration,Accuracy,Precision,Recall,Model Size
275,"(6000, 'spectrogram')","[(64, 3, 'relu')]",0.8181818181818182,0.0,0.0,303795404
276,"(6000, 'spectrogram')","[(64, 5, 'relu')]",0.18181818181818182,0.18181818181818182,1.0,297978060
277,"(6000, 'spectrogram')","[(64, 5, 'relu'), (16, 3, 'relu')]",0.9954545454545455,1.0,0.975,73088792
278,"(6000, 'spectrogram')","[(64, 3, 'sigmoid')]",1.0,1.0,1.0,303795544
279,"(6000, 'spectrogram')","[(64, 3, 'relu')]",0.18181818181818182,0.18181818181818182,1.0,303795404
280,"(6000, 'spectrogram')","[(64, 5, 'relu')]",0.18181818181818182,0.18181818181818182,1.0,297978060
281,"(6000, 'spectrogram')","[(64, 5, 'sigmoid')]",0.18181818181818182,0.18181818181818182,1.0,297978200
282,"(6000, 'spectrogram')","[(64, 3, 'relu')]",0.18181818181818182,0.18181818181818182,1.0,303795404
283,"(6000, 'spectrogram')","[(64, 5, 'sigmoid'), (16, 3, 'relu')]",0.8181818181818182,0.0,0.0,73088944
284,"(6000, 'spectrogram')","[(64, 3, 'relu')]",0.8181818181818182,0.0,0.0,303795404
285,"(6000, 'spectrogram')","[(64, 3, 'relu')]",0.18181818181818182,0.18181818181818182,1.0,303795404
286,"(6000, 'spectrogram')","[(64, 3, 'relu')]",0.8181818181818182,0.0,0.0,303795404
287,"(6000, 'spectrogram')","[(64, 3, 'relu')]",1.0,1.0,1.0,303795404
288,"(6000, 'spectrogram')","[(64, 5, 'sigmoid')]",0.18181818181818182,0.18181818181818182,1.0,297978200
289,"(6000, 'spectrogram')","[(64, 3, 'relu')]",1.0,1.0,1.0,303795404
290,"(6000, 'spectrogram')","[(64, 5, 'relu')]",0.18181818181818182,0.18181818181818182,1.0,297978060
291,"(6000, 'spectrogram')","[(32, 3, 'sigmoid')]",0.18181818181818182,0.18181818181818182,1.0,151899224
292,"(6000, 'spectrogram')","[(64, 5, 'relu')]",0.8181818181818182,0.0,0.0,297978060
293,"(6000, 'spectrogram')","[(64, 3, 'sigmoid')]",0.8181818181818182,0.0,0.0,303795544
294,"(6000, 'spectrogram')","[(64, 3, 'relu')]",0.18181818181818182,0.18181818181818182,1.0,303795404
295,"(6000, 'spectrogram')","[(64, 3, 'relu'), (16, 3, 'relu')]",0.18181818181818182,0.18181818181818182,1.0,74534936
296,"(6000, 'spectrogram')","[(64, 3, 'sigmoid')]",0.8181818181818182,0.0,0.0,303795544
297,"(6000, 'spectrogram')","[(64, 3, 'relu'), (4, 3, 'relu')]",0.9772727272727273,1.0,0.875,18638120
298,"(6000, 'spectrogram')","[(16, 3, 'sigmoid')]",1.0,1.0,1.0,75951064
299,"(6000, 'spectrogram')","[(64, 3, 'relu')]",0.8181818181818182,0.0,0.0,303795404
